Date,平均温度,最高温,最低温,平均降水,最高露点,平均露点,最低露点,最高湿度(%),最低湿度(%),平均相对湿度(%),最高气压,平均气压,最低气压,最高风速,平均风速,最低风速,BSI_厦门手足口病_all,BSI_厦门手足口病_pc,BSI_厦门手足口病_wise,BSI_厦门肝炎_all,BSI_厦门肝炎_pc,BSI_厦门肝炎_wise,BSI_厦门腹泻_all,BSI_厦门腹泻_pc,BSI_厦门腹泻_wise,手足口病,肝炎,其他感染性腹泻,HF1,HF2,HF3,HF4,HF5,HF6,HF7,H1,H2,H3,H4,H5,H6,H7,D1,D2,D3,D4,D5,D6,D7
2011Y21W,24.33,30,18.89,5.71,23.89,20.69,17.22,100,51,81.21,1007.38,1003.64,1000.29,16,7.87,0,297,752,0,435,435,0,297,297,0,162,118,29,31,18,17,27,25,22,22,19,10,32,17,19,12,9,6,3,7,4,4,2,3
2011Y22W,25.02,32.22,18.89,1.37,23.89,19.37,11.11,100,35,72.46,1009.41,1004.49,999.27,16,7.05,0,303,713,0,454,454,0,303,303,0,175,91,40,21,26,26,40,26,21,15,15,12,27,18,11,5,3,3,4,7,7,11,6,2
2011Y23W,29.38,35,23.89,33.39,26.11,24.31,22.22,94,49,75,1005.35,1001.88,998.6,18,8.52,0,356,670,0,446,446,0,356,356,0,212,122,38,27,27,43,21,38,14,42,15,18,21,28,19,10,11,5,4,6,5,10,2,6
2011Y24W,28.58,32.78,25,3,26.11,24.67,22.22,94,59,80.14,1004.34,1002.09,999.27,25,8.79,2,420,733,0,425,425,0,420,420,0,226,110,43,38,32,46,43,23,22,22,12,25,19,12,18,10,14,6,9,5,8,8,6,1
2011Y25W,29.91,37.22,27.22,19.94,26.11,24.11,21.11,89,42,72.04,1004.34,999.2,991.5,18,7.48,0,436,737,0,448,448,0,436,436,0,232,116,62,41,32,33,27,28,21,50,25,15,24,16,17,8,11,16,12,7,7,12,8,0
2011Y26W,28.68,37.78,25,17.39,26.11,24.61,22.22,94,42,79.57,1006.37,1000.32,989.47,20,7.59,0,360,676,0,373,373,0,360,360,0,201,110,31,32,33,33,34,14,21,34,19,21,21,19,9,5,16,5,3,8,5,4,1,5
2011Y27W,30.21,37.22,26.11,13.43,27.22,24.62,21.11,94,44,72.97,1005.35,1000.65,995.56,16,7.06,0,446,593,0,421,421,0,446,446,0,193,117,45,39,21,30,31,31,9,32,16,21,21,22,19,8,10,7,3,12,7,6,5,5
2011Y28W,28.38,32.78,26.11,50.6,27.22,25.13,22.78,94,59,82.97,1001.3,998.67,995.56,16,7.8,2,452,560,0,426,426,0,452,452,0,129,153,49,26,18,18,23,15,11,18,18,25,36,22,24,13,15,6,15,9,4,7,3,5
2011Y29W,27.91,35,25,8.49,27.22,24.9,23.89,94,56,84.48,1002.31,997.27,991.5,18,7.08,0,430,495,0,433,433,0,430,430,0,103,117,69,30,9,14,14,12,5,19,19,28,14,17,15,10,14,5,16,15,10,9,10,4
2011Y30W,30.24,36.11,27.22,0.6,27.22,24.56,22.22,94,47,72.3,1005.35,1001.57,998.6,16,6.81,0,368,473,0,373,373,0,368,368,0,78,132,54,17,16,12,8,10,8,7,16,20,20,15,23,17,21,10,12,9,7,9,4,3
2011Y31W,29.8,35,25,10.63,27.22,24.35,21.11,94,49,73.41,1002.31,998.51,991.5,20,5.49,0,428,454,0,385,385,0,428,428,0,64,158,53,10,10,11,9,6,10,8,24,24,27,28,23,7,25,9,12,6,8,4,7,7
2011Y32W,29.58,35,26.11,9.43,31.11,25.08,22.22,100,47,77.23,1006.37,1001.52,993.53,18,7.77,0,358,588,0,431,431,0,358,358,0,79,116,81,17,10,12,12,7,13,8,11,20,23,12,21,20,9,12,14,11,10,17,12,5
2011Y33W,30.03,35,25,0.21,26.11,24.19,21.11,94,44,71.54,1007.38,1005.46,1003.33,16,7.25,0,366,514,0,431,431,0,366,366,0,73,105,57,12,10,10,11,9,10,11,16,11,15,23,17,11,12,14,8,10,10,8,5,2
2011Y34W,29.34,35,23.89,11.14,27.22,23.98,21.11,100,49,74.02,1006.37,1001.62,996.57,20,6.47,0,375,433,0,446,446,0,375,375,0,56,120,60,7,11,8,3,11,9,7,18,21,17,11,18,17,18,8,8,12,12,11,5,4
2011Y35W,27.46,35,23.89,81.39,26.11,23.8,21.11,100,49,82.09,1004.34,995.69,988.46,22,8.38,0,424,468,0,311,311,0,424,424,0,47,119,57,7,7,10,11,0,4,8,17,19,23,22,23,5,10,7,5,8,15,8,8,6
2011Y36W,28.35,32.78,25,1.33,26.11,23.41,21.11,100,52,75.82,1008.39,1004.2,1000.29,16,6.01,0,430,485,0,369,369,0,430,430,0,53,120,71,10,10,5,13,5,3,7,20,23,23,27,15,9,3,12,17,12,11,8,5,6
2011Y37W,28.98,33.89,23.89,2.7,23.89,22.68,21.11,94,46,69.7,1008.39,1003.54,998.6,18,8.57,0,421,503,0,450,450,0,421,421,0,65,134,60,19,12,7,12,4,3,8,21,23,25,18,28,7,12,6,17,9,6,7,9,6
2011Y38W,26.1,32.22,22.78,1.89,23.89,19.4,12.22,89,45,66.96,1009.41,1006.38,1001.3,20,10.57,0,428,523,0,412,412,0,428,428,0,78,107,60,15,17,9,10,13,4,10,13,26,17,12,14,22,3,13,10,13,1,11,7,5
2011Y39W,27.35,32.78,22.78,17.56,26.11,21.16,16.11,94,46,69.44,1009.41,1005.21,999.27,25,13.08,0,378,492,0,437,437,0,378,378,0,49,99,69,12,5,6,8,7,4,7,21,13,19,31,11,2,2,12,9,16,13,8,7,4
2011Y40W,24.43,30,20,0.1,21.11,17.31,15,83,45,64.82,1013.46,1010.41,1007.38,27,12.67,4,414,516,0,421,421,0,414,414,0,63,84,46,8,9,10,16,11,5,4,4,6,10,9,19,11,25,9,3,5,3,8,11,7
2011Y41W,25.55,31.11,20,7.89,23.89,20.91,12.78,94,37,76.38,1011.43,1008.43,1003.33,18,7.49,0,356,462,0,437,437,0,356,356,0,35,104,79,7,5,5,2,6,6,4,17,16,12,15,16,23,5,12,13,24,8,12,6,4
2011Y42W,23.64,27.78,20,0,20,15.29,10,83,36,60.72,1015.49,1011.27,1007.38,27,10.04,0,301,535,0,394,394,0,301,301,0,41,102,86,5,3,7,11,3,4,8,11,16,22,23,6,15,9,18,16,8,15,11,8,10
2011Y43W,23.06,30,18.89,0.13,22.22,16.01,11.11,94,47,65.15,1016.5,1012.66,1006.37,22,10.7,0,354,477,0,448,448,0,354,354,0,34,124,93,3,7,6,3,3,4,8,30,11,20,18,18,18,9,15,12,17,14,20,10,5
2011Y44W,25.17,32.22,18.89,1.31,22.78,19.26,12.78,94,45,70.24,1014.47,1010.23,1006.37,18,8.53,0,297,509,0,443,443,0,297,297,0,29,152,96,7,4,1,3,7,4,3,13,32,22,27,29,17,12,11,17,13,13,13,16,13
2011Y45W,20.33,25,17.78,50.97,20,16.72,10,100,56,80.27,1015.49,1009.7,1003.33,20,9.19,0,363,547,0,425,425,0,363,363,0,24,124,75,1,2,4,3,3,6,5,15,15,43,18,12,15,6,16,11,16,9,4,12,7
